"sub","distBtwShapes","trial_number","cuedAR","uncuedAR","responseAR","rt","global_org","cued_ellipse","e1_motion_dir","e2_motion_dir","round_number","coherence","cued_motion_dir","sameDirection1S0D","responseError","sameCatS1D0","identicalShapesI1D0","uncuedCatM1F0C1T"
293737,402,44,0.18532679,-0.46331866,0.13899498,2435,0,1,90,90,0,0.8,90,1,-0.04633181,0,0,-1
293737,402,45,0.27799043,0.09266316,-0.00000048,1593,1,2,0,0,0,0.8,0,1,-0.27799091,1,0,1
293737,402,46,0.23165861,-0.13899593,0.32432225,1775,1,1,90,270,0,0.6,90,0,0.09266364,0,0,-1
293737,402,47,-0.0463323,-0.09266412,-0.13899593,1549,0,2,0,180,0,0.8,180,0,-0.09266363,1,0,-1
293737,402,48,-0.0463323,-0.18532775,0.04633134,1634,0,1,0,180,0,0.8,0,0,0.09266364,1,0,-1
293737,402,49,-0.37065503,-0.09266412,-0.23165957,2578,0,2,270,90,0,0.6,90,0,0.13899546,1,0,-1
293737,402,50,0.23165861,0.41698588,0.27799043,3101,0,2,0,0,0,0.8,0,1,0.04633182,1,0,1
293737,402,51,-0.13899593,-0.46331866,-0.09266412,1608,0,1,90,270,0,0.6,90,0,0.04633181,1,0,-1
293737,402,52,0.32432225,0.04633134,0.27799043,2721,1,2,90,90,0,0.6,90,1,-0.04633182,1,0,1
293737,402,53,0.27799043,-0.27799139,-0.0463323,2938,0,1,0,180,0,0.8,0,0,-0.32432273,0,0,-1
293737,402,54,-0.32432321,0.23165861,-0.27799139,3030,0,2,0,0,0,0.8,0,1,0.04633182,0,0,1
293737,402,55,-0.37065503,0.41698588,-0.13899593,1812,1,1,90,270,0,0.8,90,0,0.2316591,0,0,1
293737,402,56,-0.09266412,0.32432225,0.09266316,1806,1,2,0,0,0,0.6,0,1,0.18532728,0,0,1
293737,402,57,-0.0463323,0.32432225,0.04633134,1768,0,2,90,90,0,0.8,90,1,0.09266364,0,0,1
293737,402,58,-0.41698684,0.18532679,-0.27799139,1741,1,1,0,0,0,0.8,0,1,0.13899545,0,0,1
293737,402,59,0.4633177,-0.09266412,0.32432225,1621,0,1,90,270,0,0.6,90,0,-0.13899545,0,0,-1
293737,402,60,0.13899498,-0.27799139,-0.09266412,1291,0,2,0,0,0,0.6,0,1,-0.2316591,0,0,-1
293737,402,61,0.4633177,0.27799043,0.23165861,2571,0,1,0,180,0,0.8,0,0,-0.23165909,1,0,1
293737,402,62,0.18532679,0.4633177,0.04633134,3315,0,1,180,0,0,0.6,180,0,-0.13899545,1,0,1
293737,402,63,0.32432225,-0.41698684,0.32432225,3547,0,2,180,180,0,0.8,180,1,0,0,0,-1
293737,402,64,0.41698588,-0.37065503,0.13899498,5995,1,2,270,270,0,0.8,270,1,-0.2779909,0,0,-1
293737,402,65,-0.46331866,-0.13899593,-0.13899593,4802,0,2,90,270,0,0.6,270,0,0.32432273,1,0,-1
293737,402,66,-0.46331866,-0.18532775,-0.00000048,1849,1,1,0,0,0,0.8,0,1,0.46331818,1,0,-1
293737,402,67,0.27799043,-0.23165957,-0.00000048,3641,1,1,180,180,0,0.6,180,1,-0.27799091,0,0,-1
293737,402,68,-0.09266412,0.13899498,-0.13899593,1863,1,2,270,270,0,0.6,270,1,-0.04633181,0,0,1
293737,402,69,0.32432225,-0.41698684,0.13899498,3649,0,2,90,270,0,0.8,270,0,-0.18532727,0,0,-1
293737,402,70,-0.0463323,-0.09266412,0.13899498,1869,0,2,180,180,0,0.6,180,1,0.18532728,1,0,-1
293737,402,71,0.27799043,-0.00000048,-0.09266412,1490,0,2,90,270,0,0.8,270,0,-0.37065455,0,0,0
293737,402,72,-0.46331866,0.37065407,0.23165861,1660,0,1,270,90,0,0.6,270,0,0.69497727,0,0,1
293737,402,73,0.04633134,-0.09266412,-0.00000048,1344,1,1,90,270,0,0.6,90,0,-0.04633182,0,0,-1
293737,402,74,-0.23165957,-0.09266412,0.04633134,1752,1,2,0,0,0,0.6,0,1,0.27799091,1,0,-1
293737,402,75,0.37065407,0.37065407,0.4633177,1907,0,2,270,90,0,0.8,90,0,0.09266363,1,1,1
293737,402,76,0.09266316,0.13899498,-0.09266412,1896,1,1,90,90,0,0.8,90,1,-0.18532728,1,0,1
293737,402,77,-0.32432321,0.27799043,-0.09266412,3164,1,1,270,90,0,0.6,270,0,0.23165909,0,0,1
293737,402,78,-0.0463323,-0.18532775,0.09266316,1849,0,1,180,0,0,0.6,180,0,0.13899546,1,0,-1
293737,402,79,-0.32432321,-0.23165957,-0.0463323,1246,1,2,0,180,0,0.6,180,0,0.27799091,1,0,-1
293737,402,80,0.41698588,-0.0463323,0.13899498,1492,1,2,180,180,0,0.8,180,1,-0.2779909,0,0,-1
293737,402,81,-0.18532775,-0.32432321,-0.0463323,3420,1,2,180,180,0,0.6,180,1,0.13899545,1,0,-1
293737,402,82,-0.27799139,-0.46331866,0.13899498,1874,1,1,180,0,0,0.8,180,0,0.41698637,1,0,-1
293737,402,83,0.04633134,0.32432225,-0.18532775,1879,1,2,180,180,0,0.6,180,1,-0.23165909,1,0,1
293737,402,84,0.04633134,0.32432225,-0.09266412,1754,0,2,0,0,0,0.8,0,1,-0.13899546,1,0,1
293737,402,85,-0.41698684,-0.27799139,0.13899498,2858,1,2,90,90,0,0.6,90,1,0.55598182,1,0,-1
293737,402,86,0.04633134,0.04633134,-0.09266412,1267,1,2,270,90,0,0.8,90,0,-0.13899546,1,1,1
293737,402,87,0.41698588,0.13899498,-0.00000048,1682,0,2,90,270,0,0.8,270,0,-0.41698636,1,0,1
293737,402,88,-0.13899593,0.18532679,0.13899498,2248,0,1,180,0,0,0.6,180,0,0.27799091,0,0,1
293737,402,89,-0.32432321,-0.46331866,-0.13899593,1599,0,1,270,90,0,0.6,270,0,0.18532728,1,0,-1
293737,402,90,-0.46331866,0.18532679,-0.32432321,1734,0,1,180,0,0,0.8,180,0,0.13899545,0,0,1
293737,402,91,-0.00000048,0.32432225,-0.00000048,2324,0,2,270,90,0,0.6,90,0,0,0,0,1
293737,402,92,0.4633177,-0.37065503,0.32432225,2118,1,2,180,180,0,0.8,180,1,-0.13899545,0,0,-1
293737,402,93,0.09266316,-0.32432321,0.04633134,1976,0,2,180,180,0,0.8,180,1,-0.04633182,0,0,-1
293737,402,94,-0.27799139,-0.41698684,-0.27799139,2504,0,1,90,270,0,0.6,90,0,0,1,0,-1
293737,402,95,0.4633177,-0.23165957,0.32432225,1959,1,1,90,90,0,0.6,90,1,-0.13899545,0,0,-1
293737,402,96,-0.46331866,-0.37065503,-0.27799139,1416,1,1,270,90,0,0.6,270,0,0.18532727,1,0,-1
293737,402,97,-0.27799139,-0.27799139,0.09266316,1550,1,1,180,180,0,0.6,180,1,0.37065455,1,1,-1
293737,402,98,-0.37065503,0.41698588,-0.0463323,1848,0,2,270,270,0,0.8,270,1,0.32432273,0,0,1
293737,402,99,0.13899498,-0.46331866,0.23165861,2306,0,1,90,90,0,0.6,90,1,0.09266363,0,0,-1
293737,402,100,0.23165861,-0.37065503,0.32432225,1381,1,1,270,270,0,0.6,270,1,0.09266364,0,0,-1
293737,402,101,0.09266316,-0.23165957,-0.09266412,1865,1,2,180,180,0,0.8,180,1,-0.18532728,0,0,-1
293737,402,102,0.37065407,-0.32432321,-0.0463323,1898,1,2,0,0,0,0.6,0,1,-0.41698637,0,0,-1
293737,402,103,-0.13899593,0.09266316,-0.13899593,2484,0,2,270,270,0,0.6,270,1,0,0,0,1
293737,402,104,0.18532679,0.23165861,0.04633134,1654,1,2,0,180,0,0.8,180,0,-0.13899545,1,0,1
293737,402,105,-0.00000048,0.13899498,0.04633134,1454,1,1,180,180,0,0.6,180,1,0.04633182,0,0,1
293737,402,106,-0.37065503,-0.32432321,-0.13899593,1530,0,2,180,0,0,0.6,0,0,0.2316591,1,0,-1
293737,402,107,0.09266316,0.09266316,0.09266316,1548,0,1,270,270,0,0.6,270,1,0,1,1,1
